date,interest,reef_break
2023-09-01,18,Cloudbreak
2023-10-01,14,Cloudbreak
2023-11-01,22,Cloudbreak
2023-12-01,20,Cloudbreak
2024-01-01,16,Cloudbreak
2024-02-01,21,Cloudbreak
2024-03-01,34,Cloudbreak
2024-04-01,25,Cloudbreak
2024-05-01,19,Cloudbreak
2024-06-01,24,Cloudbreak
2024-07-01,59,Cloudbreak
2024-08-01,100,Cloudbreak
2024-09-01,21,Cloudbreak
2024-10-01,20,Cloudbreak
2024-11-01,15,Cloudbreak
2024-12-01,10,Cloudbreak
2019-01-01,23,Snapper Rocks
2019-02-01,100,Snapper Rocks
2019-03-01,39,Snapper Rocks
2019-04-01,64,Snapper Rocks
2019-05-01,17,Snapper Rocks
2019-06-01,22,Snapper Rocks
2019-07-01,32,Snapper Rocks
2019-08-01,17,Snapper Rocks
2019-09-01,27,Snapper Rocks
2019-10-01,21,Snapper Rocks
2019-11-01,22,Snapper Rocks
2019-12-01,30,Snapper Rocks
2020-01-01,24,Snapper Rocks
2020-02-01,74,Snapper Rocks
2020-03-01,32,Snapper Rocks
2020-04-01,15,Snapper Rocks
2020-05-01,20,Snapper Rocks
2020-06-01,25,Snapper Rocks
2020-07-01,23,Snapper Rocks
2020-08-01,22,Snapper Rocks
2020-09-01,17,Snapper Rocks
2020-10-01,15,Snapper Rocks
2020-11-01,15,Snapper Rocks
2020-12-01,41,Snapper Rocks
2021-01-01,25,Snapper Rocks
2021-02-01,30,Snapper Rocks
2021-03-01,19,Snapper Rocks
2021-04-01,27,Snapper Rocks
2021-05-01,33,Snapper Rocks
2021-06-01,18,Snapper Rocks
2021-07-01,23,Snapper Rocks
2021-08-01,17,Snapper Rocks
2021-09-01,17,Snapper Rocks
2021-10-01,16,Snapper Rocks
2021-11-01,20,Snapper Rocks
2021-12-01,29,Snapper Rocks
2022-01-01,70,Snapper Rocks
2022-02-01,38,Snapper Rocks
2022-03-01,24,Snapper Rocks
2022-04-01,30,Snapper Rocks
2022-05-01,56,Snapper Rocks
2022-06-01,18,Snapper Rocks
2022-07-01,35,Snapper Rocks
2022-08-01,17,Snapper Rocks
2022-09-01,19,Snapper Rocks
2022-10-01,16,Snapper Rocks
2022-11-01,18,Snapper Rocks
2022-12-01,26,Snapper Rocks
2023-01-01,38,Snapper Rocks
2023-02-01,38,Snapper Rocks
2023-03-01,21,Snapper Rocks
2023-04-01,44,Snapper Rocks
2023-05-01,64,Snapper Rocks
2023-06-01,20,Snapper Rocks
2023-07-01,18,Snapper Rocks
2023-08-01,12,Snapper Rocks
2023-09-01,21,Snapper Rocks
2023-10-01,22,Snapper Rocks
2023-11-01,20,Snapper Rocks
2023-12-01,22,Snapper Rocks
2024-01-01,45,Snapper Rocks
2024-02-01,24,Snapper Rocks
2024-03-01,31,Snapper Rocks
2024-04-01,52,Snapper Rocks
2024-05-01,40,Snapper Rocks
2024-06-01,16,Snapper Rocks
2024-07-01,20,Snapper Rocks
2024-08-01,21,Snapper Rocks
2024-09-01,18,Snapper Rocks
2024-10-01,15,Snapper Rocks
2024-11-01,17,Snapper Rocks
2024-12-01,28,Snapper Rocks
2019-01-01,69,Padang Padang
2019-02-01,65,Padang Padang
2019-03-01,56,Padang Padang
2019-04-01,68,Padang Padang
2019-05-01,57,Padang Padang
2019-06-01,83,Padang Padang
2019-07-01,100,Padang Padang
2019-08-01,73,Padang Padang
2019-09-01,68,Padang Padang
2019-10-01,73,Padang Padang
2019-11-01,66,Padang Padang
2019-12-01,64,Padang Padang
2020-01-01,64,Padang Padang
2020-02-01,47,Padang Padang
2020-03-01,33,Padang Padang
2020-04-01,14,Padang Padang
2020-05-01,17,Padang Padang
2020-06-01,20,Padang Padang
2020-07-01,25,Padang Padang
2020-08-01,27,Padang Padang
2020-09-01,29,Padang Padang
2020-10-01,29,Padang Padang
2020-11-01,28,Padang Padang
2020-12-01,32,Padang Padang
2021-01-01,20,Padang Padang
2021-02-01,23,Padang Padang
2021-03-01,18,Padang Padang
2021-04-01,21,Padang Padang
2021-05-01,21,Padang Padang
2021-06-01,22,Padang Padang
2021-07-01,12,Padang Padang
2021-08-01,19,Padang Padang
2021-09-01,22,Padang Padang
2021-10-01,19,Padang Padang
2021-11-01,21,Padang Padang
2021-12-01,18,Padang Padang
2022-01-01,21,Padang Padang
2022-02-01,15,Padang Padang
2022-03-01,25,Padang Padang
2022-04-01,30,Padang Padang
2022-05-01,37,Padang Padang
2022-06-01,46,Padang Padang
2022-07-01,45,Padang Padang
2022-08-01,55,Padang Padang
2022-09-01,45,Padang Padang
2022-10-01,47,Padang Padang
2022-11-01,40,Padang Padang
2022-12-01,45,Padang Padang
2023-01-01,41,Padang Padang
2023-02-01,36,Padang Padang
2023-03-01,35,Padang Padang
2023-04-01,54,Padang Padang
2023-05-01,46,Padang Padang
2023-06-01,48,Padang Padang
2023-07-01,64,Padang Padang
2023-08-01,69,Padang Padang
2023-09-01,64,Padang Padang
2023-10-01,48,Padang Padang
2023-11-01,48,Padang Padang
2023-12-01,41,Padang Padang
2024-01-01,53,Padang Padang
2024-02-01,32,Padang Padang
2024-03-01,47,Padang Padang
2024-04-01,56,Padang Padang
2024-05-01,59,Padang Padang
2024-06-01,59,Padang Padang
2024-07-01,64,Padang Padang
2024-08-01,83,Padang Padang
2024-09-01,55,Padang Padang
2024-10-01,41,Padang Padang
2024-11-01,44,Padang Padang
2024-12-01,32,Padang Padang
2019-01-01,25,G-land
2019-02-01,0,G-land
2019-03-01,21,G-land
2019-04-01,0,G-land
2019-05-01,28,G-land
2019-06-01,25,G-land
2019-07-01,18,G-land
2019-08-01,19,G-land
2019-09-01,19,G-land
2019-10-01,0,G-land
2019-11-01,18,G-land
2019-12-01,27,G-land
2020-01-01,26,G-land
2020-02-01,26,G-land
2020-03-01,37,G-land
2020-04-01,32,G-land
2020-05-01,0,G-land
2020-06-01,22,G-land
2020-07-01,19,G-land
2020-08-01,0,G-land
