date,reef_break,interest,dhw
2020-01-01,Cloudbreak,24,0.0
2020-02-01,Cloudbreak,14,1.046896551724138
2020-03-01,Cloudbreak,13,2.5748387096774192
2020-04-01,Cloudbreak,19,2.67
2020-05-01,Cloudbreak,20,1.0925806451612905
2020-06-01,Cloudbreak,19,0.005
2020-07-01,Cloudbreak,22,0.0
2020-08-01,Cloudbreak,21,0.0
2020-09-01,Cloudbreak,16,0.0
2020-10-01,Cloudbreak,14,0.0
2020-11-01,Cloudbreak,16,0.0
2020-12-01,Cloudbreak,13,0.0
2021-01-01,Cloudbreak,16,0.1819354838709677
2021-02-01,Cloudbreak,12,0.47
2021-03-01,Cloudbreak,12,0.47
2021-04-01,Cloudbreak,16,0.2033333333333333
2021-05-01,Cloudbreak,18,0.0
2021-06-01,Cloudbreak,18,0.0
2021-07-01,Cloudbreak,17,0.0
2021-08-01,Cloudbreak,19,0.0
2021-09-01,Cloudbreak,16,0.0
2021-10-01,Cloudbreak,21,0.0
2021-11-01,Cloudbreak,14,0.0
2021-12-01,Cloudbreak,13,0.0
2022-01-01,Cloudbreak,26,0.1061290322580645
2022-02-01,Cloudbreak,20,0.7964285714285715
2022-03-01,Cloudbreak,14,2.7061290322580644
2022-04-01,Cloudbreak,27,3.5656666666666665
2022-05-01,Cloudbreak,26,2.80483870967742
2022-06-01,Cloudbreak,37,0.5276666666666666
2022-07-01,Cloudbreak,21,0.0
2022-08-01,Cloudbreak,22,0.0
2022-09-01,Cloudbreak,25,0.0
2022-10-01,Cloudbreak,22,0.0
2022-11-01,Cloudbreak,12,0.0
2022-12-01,Cloudbreak,24,1.0629032258064517
2023-01-01,Cloudbreak,20,1.454516129032258
2023-02-01,Cloudbreak,25,3.1917857142857144
2023-03-01,Cloudbreak,26,2.060967741935484
2023-04-01,Cloudbreak,15,2.878
2023-05-01,Cloudbreak,28,1.538709677419355
2023-06-01,Cloudbreak,27,1.3796666666666666
2023-07-01,Cloudbreak,21,0.1409677419354838
2023-08-01,Cloudbreak,20,0.0
2023-09-01,Cloudbreak,18,0.0
2023-10-01,Cloudbreak,14,0.0
2023-11-01,Cloudbreak,22,0.0
2023-12-01,Cloudbreak,20,0.0
2024-01-01,Cloudbreak,16,1.027
2024-02-01,Cloudbreak,21,3.867241379310345
2024-03-01,Cloudbreak,34,7.350645161290322
2024-04-01,Cloudbreak,25,6.254333333333333
2024-05-01,Cloudbreak,19,3.148709677419355
